sex.x,SampYear.x,lbin.x,n.x,sex.y,SampYear.y,lbin.y,n.y,ncomp,POP
1,15,8,12,1,11,1,11,132,0
2,15,8,6,1,11,1,11,66,0
1,10,9,13,1,11,1,11,143,0
2,10,9,6,1,11,1,11,66,0
1,11,9,14,1,11,1,11,154,0
2,11,9,7,1,11,1,11,77,0
1,12,9,11,1,11,1,11,121,0
2,12,9,9,1,11,1,11,99,0
1,13,9,9,1,11,1,11,99,0
2,13,9,4,1,11,1,11,44,0
1,14,9,8,1,11,1,11,88,0
2,14,9,9,1,11,1,11,99,0
1,15,9,12,1,11,1,11,132,0
2,15,9,11,1,11,1,11,121,0
1,10,10,7,1,11,1,11,77,0
2,10,10,7,1,11,1,11,77,0
1,11,10,9,1,11,1,11,99,0
2,11,10,10,1,11,1,11,110,0
1,12,10,11,1,11,1,11,121,0
2,12,10,10,1,11,1,11,110,0
1,13,10,8,1,11,1,11,88,0
2,13,10,15,1,11,1,11,165,0
1,14,10,10,1,11,1,11,110,0
2,14,10,7,1,11,1,11,77,0
1,15,10,10,1,11,1,11,110,0
2,15,10,12,1,11,1,11,132,0
1,10,11,12,1,11,1,11,132,0
2,10,11,10,1,11,1,11,110,0
1,11,11,9,1,11,1,11,99,0
2,11,11,12,1,11,1,11,132,0
1,12,11,16,1,11,1,11,176,0
2,12,11,7,1,11,1,11,77,0
1,13,11,8,1,11,1,11,88,0
2,13,11,7,1,11,1,11,77,0
1,14,11,10,1,11,1,11,110,0
2,14,11,9,1,11,1,11,99,0
1,15,11,11,1,11,1,11,121,0
2,15,11,8,1,11,1,11,88,0
1,10,12,13,1,11,1,11,143,0
2,10,12,8,1,11,1,11,88,0
1,11,12,9,1,11,1,11,99,0
2,11,12,16,1,11,1,11,176,0
1,12,12,11,1,11,1,11,121,0
2,12,12,10,1,11,1,11,110,0
1,13,12,10,1,11,1,11,110,0
2,13,12,11,1,11,1,11,121,0
1,14,12,7,1,11,1,11,77,0
2,14,12,12,1,11,1,11,132,0
1,15,12,9,1,11,1,11,99,0
2,15,12,10,1,11,1,11,110,0
1,10,13,13,1,11,1,11,143,0
2,10,13,4,1,11,1,11,44,0
1,11,13,8,1,11,1,11,88,0
2,11,13,10,1,11,1,11,110,0
1,12,13,7,1,11,1,11,77,0
2,12,13,6,1,11,1,11,66,0
1,13,13,13,1,11,1,11,143,0
2,13,13,8,1,11,1,11,88,0
1,14,13,6,1,11,1,11,66,0
2,14,13,7,1,11,1,11,77,0
1,15,13,6,1,11,1,11,66,0
2,15,13,9,1,11,1,11,99,0
